game_id,season_id,year,phase,group,date,started_at,ended_at,location,innings,audience,status,finished_status,home_team,home_team_id,away_team,away_team_id,home_runs,away_runs,home_hits,away_hits,home_errors,away_errors,home_scores,away_scores,winner_side,home_win
I8Wp1,CPBL-2026-oB,2026,一軍,例行賽,2026-04-25,2026-04-25 17:06,2026-04-25 20:35,樂天桃園棒球場,9,,FINISHED,NORMAL,樂天桃猿,b7yJt,味全龍,GJ5tu,1,4,5,9,0,0,"0,0,0,0,0,1,0,0,0","0,0,1,0,0,0,0,0,3",AWAY,0
HAtpQ,CPBL-2026-oB,2026,一軍,例行賽,2026-04-25,2026-04-25 17:35,2026-04-25 20:07,臺中市洲際棒球場,9,,FINISHED,NORMAL,中信兄弟,RAe8S,富邦悍將,H0zzP,1,0,6,6,0,0,"0,0,0,1,0,0,0,0,0","0,0,0,0,0,0,0,0,0",HOME,1
hwrff,CPBL-2026-oB,2026,一軍,例行賽,2026-04-25,2026-04-25 17:50,2026-04-25 20:35,亞太國際棒球訓練中心-主球場,9,,FINISHED,NORMAL,統一7-ELEVEn獅,NsGzj,台鋼雄鷹,UuZ3x,6,4,8,10,1,0,"0,3,0,0,0,0,2,1,0","0,0,4,0,0,0,0,0,0",HOME,1
XM40J,CPBL-2026-oB,2026,一軍,例行賽,2026-04-24,2026-04-24 18:35,2026-04-24 22:23,亞太國際棒球訓練中心-主球場,10,,FINISHED,NORMAL,統一7-ELEVEn獅,NsGzj,台鋼雄鷹,UuZ3x,7,6,10,11,1,1,"1,0,2,0,0,0,0,2,0,2","0,0,0,0,3,0,2,0,0,1",HOME,1
8rLfz,CPBL-2026-oB,2026,一軍,例行賽,2026-04-23,2026-04-23 18:35,2026-04-23 21:22,澄清湖棒球場,9,,FINISHED,NORMAL,台鋼雄鷹,UuZ3x,味全龍,GJ5tu,4,3,12,9,0,1,"0,0,0,2,0,0,2,0,0","0,2,0,1,0,0,0,0,0",HOME,1
bV94m,CPBL-2026-oB,2026,一軍,例行賽,2026-04-22,2026-04-22 18:35,2026-04-22 21:40,嘉義市立棒球場,9,,FINISHED,NORMAL,台鋼雄鷹,UuZ3x,味全龍,GJ5tu,0,8,3,13,1,1,"0,0,0,0,0,0,0,0,0","5,0,2,0,1,0,0,0,0",AWAY,0
PHvdC,CPBL-2026-oB,2026,一軍,例行賽,2026-04-22,2026-04-22 18:35,2026-04-22 21:01,樂天桃園棒球場,9,,FINISHED,NORMAL,樂天桃猿,b7yJt,富邦悍將,H0zzP,4,2,10,6,1,0,"1,2,0,0,1,0,0,0,0","0,0,1,0,0,0,0,1,0",HOME,1
Uzdu2,CPBL-2026-oB,2026,一軍,例行賽,2026-04-22,2026-04-22 18:35,2026-04-22 21:21,亞太國際棒球訓練中心-主球場,9,,FINISHED,NORMAL,統一7-ELEVEn獅,NsGzj,中信兄弟,RAe8S,2,7,5,8,1,0,"1,0,0,1,0,0,0,0,0","0,0,0,0,0,0,6,1,0",AWAY,0
GvnuC,CPBL-2026-oB,2026,一軍,例行賽,2026-04-21,2026-04-21 18:35,2026-04-21 21:09,樂天桃園棒球場,9,,FINISHED,NORMAL,樂天桃猿,b7yJt,富邦悍將,H0zzP,6,1,11,3,2,2,"0,0,0,0,0,0,5,1,0","1,0,0,0,0,0,0,0,0",HOME,1
NiV53,CPBL-2026-oB,2026,一軍,例行賽,2026-04-21,2026-04-21 18:35,2026-04-21 20:56,亞太國際棒球訓練中心-主球場,9,,FINISHED,NORMAL,統一7-ELEVEn獅,NsGzj,中信兄弟,RAe8S,0,6,0,14,0,0,"0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,1,2,2",AWAY,0
quPX3,CPBL-2026-oB,2026,一軍,例行賽,2026-04-19,2026-04-19 17:05,2026-04-19 20:01,新北市立新莊棒球場,9,,FINISHED,NORMAL,富邦悍將,H0zzP,統一7-ELEVEn獅,NsGzj,7,1,9,5,1,1,"1,4,0,0,0,0,0,2,0","0,0,0,1,0,0,0,0,0",HOME,1
1EqFQ,CPBL-2026-oB,2026,一軍,例行賽,2026-04-19,2026-04-19 16:05,2026-04-19 18:47,臺北市立天母棒球場,9,,FINISHED,NORMAL,味全龍,GJ5tu,中信兄弟,RAe8S,9,3,7,9,0,1,"0,0,4,3,0,0,2,0,0","1,0,0,0,1,1,0,0,0",HOME,1
CsksN,CPBL-2026-oB,2026,一軍,例行賽,2026-04-19,2026-04-19 16:05,2026-04-19 19:08,澄清湖棒球場,9,,FINISHED,NORMAL,台鋼雄鷹,UuZ3x,樂天桃猿,b7yJt,5,4,7,10,1,0,"0,1,0,1,0,2,1,0,0","2,2,0,0,0,0,0,0,0",HOME,1
JvSwL,CPBL-2026-oB,2026,一軍,例行賽,2026-04-18,2026-04-18 17:05,2026-04-18 20:18,臺北市立天母棒球場,9,,FINISHED,NORMAL,味全龍,GJ5tu,中信兄弟,RAe8S,8,1,12,8,1,0,"0,0,0,0,0,2,0,6,0","1,0,0,0,0,0,0,0,0",HOME,1
DA5n4,CPBL-2026-oB,2026,一軍,例行賽,2026-04-18,2026-04-18 17:05,2026-04-18 19:41,新北市立新莊棒球場,9,,FINISHED,NORMAL,富邦悍將,H0zzP,統一7-ELEVEn獅,NsGzj,1,0,3,7,0,1,"1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0",HOME,1
Hob1Y,CPBL-2026-oB,2026,一軍,例行賽,2026-04-18,2026-04-18 16:05,2026-04-18 18:37,澄清湖棒球場,9,,FINISHED,NORMAL,台鋼雄鷹,UuZ3x,樂天桃猿,b7yJt,6,1,9,6,1,1,"0,0,2,1,1,0,1,1,0","0,0,0,0,0,0,0,0,1",HOME,1
vxM9b,CPBL-2026-oB,2026,一軍,例行賽,2026-04-17,2026-04-17 18:35,2026-04-17 21:28,臺北市立天母棒球場,9,,FINISHED,NORMAL,味全龍,GJ5tu,中信兄弟,RAe8S,3,5,7,9,1,0,"0,2,0,0,0,0,0,0,1","0,0,0,1,0,3,1,0,0",AWAY,0
L0jYz,CPBL-2026-oB,2026,一軍,例行賽,2026-04-17,2026-04-17 18:35,2026-04-17 21:41,新北市立新莊棒球場,9,,FINISHED,NORMAL,富邦悍將,H0zzP,統一7-ELEVEn獅,NsGzj,5,9,8,16,2,0,"0,3,0,0,2,0,0,0,0","0,0,2,2,1,0,1,3,0",AWAY,0
