game_id,season_id,year,phase,date,group,team,team_id,side,opponent,runs_scored,runs_allowed,hits,errors,win
XT2Je,CPBL-2024-xa,2024,一軍,2024-06-15,例行賽,味全龍,BNi6c,home,樂天桃猿,2,5,5,0,0
XT2Je,CPBL-2024-xa,2024,一軍,2024-06-15,例行賽,樂天桃猿,Iqkqa,away,味全龍,5,2,8,0,1
lNd4H,CPBL-2024-xa,2024,一軍,2024-06-14,例行賽,富邦悍將,uIOrj,home,味全龍,6,9,11,0,0
lNd4H,CPBL-2024-xa,2024,一軍,2024-06-14,例行賽,味全龍,BNi6c,away,富邦悍將,9,6,11,0,1
gXB7Z,CPBL-2024-xa,2024,一軍,2024-06-14,例行賽,中信兄弟,M45m3,home,樂天桃猿,5,2,8,0,1
gXB7Z,CPBL-2024-xa,2024,一軍,2024-06-14,例行賽,樂天桃猿,Iqkqa,away,中信兄弟,2,5,5,0,0
k1uZV,CPBL-2024-xa,2024,一軍,2024-06-14,例行賽,台鋼雄鷹,U64ee,home,統一7-ELEVEn獅,9,3,12,0,1
k1uZV,CPBL-2024-xa,2024,一軍,2024-06-14,例行賽,統一7-ELEVEn獅,GyWE7,away,台鋼雄鷹,3,9,8,0,0
w182z,CPBL-2024-xa,2024,一軍,2024-06-13,例行賽,富邦悍將,uIOrj,home,味全龍,6,5,10,0,1
w182z,CPBL-2024-xa,2024,一軍,2024-06-13,例行賽,味全龍,BNi6c,away,富邦悍將,5,6,9,0,0
Vmz5b,CPBL-2024-xa,2024,一軍,2024-06-13,例行賽,中信兄弟,M45m3,home,樂天桃猿,2,3,5,0,0
Vmz5b,CPBL-2024-xa,2024,一軍,2024-06-13,例行賽,樂天桃猿,Iqkqa,away,中信兄弟,3,2,7,0,1
vMWKY,CPBL-2024-xa,2024,一軍,2024-06-13,例行賽,台鋼雄鷹,U64ee,home,統一7-ELEVEn獅,5,2,6,0,1
vMWKY,CPBL-2024-xa,2024,一軍,2024-06-13,例行賽,統一7-ELEVEn獅,GyWE7,away,台鋼雄鷹,2,5,7,0,0
adIcP,CPBL-2024-xa,2024,一軍,2024-06-11,例行賽,富邦悍將,uIOrj,home,味全龍,2,4,6,0,0
adIcP,CPBL-2024-xa,2024,一軍,2024-06-11,例行賽,味全龍,BNi6c,away,富邦悍將,4,2,7,0,1
T5mNa,CPBL-2024-xa,2024,一軍,2024-06-11,例行賽,樂天桃猿,Iqkqa,home,中信兄弟,4,1,10,0,1
T5mNa,CPBL-2024-xa,2024,一軍,2024-06-11,例行賽,中信兄弟,M45m3,away,樂天桃猿,1,4,3,0,0
5bDGy,CPBL-2024-xa,2024,一軍,2024-06-10,例行賽,富邦悍將,uIOrj,home,中信兄弟,5,3,8,0,1
5bDGy,CPBL-2024-xa,2024,一軍,2024-06-10,例行賽,中信兄弟,M45m3,away,富邦悍將,3,5,7,0,0
Ft98G,CPBL-2024-xa,2024,一軍,2024-06-10,例行賽,統一7-ELEVEn獅,GyWE7,home,樂天桃猿,3,5,8,0,0
Ft98G,CPBL-2024-xa,2024,一軍,2024-06-10,例行賽,樂天桃猿,Iqkqa,away,統一7-ELEVEn獅,5,3,7,0,1
Jj65K,CPBL-2024-xa,2024,一軍,2024-06-10,例行賽,台鋼雄鷹,U64ee,home,味全龍,3,2,7,0,1
Jj65K,CPBL-2024-xa,2024,一軍,2024-06-10,例行賽,味全龍,BNi6c,away,台鋼雄鷹,2,3,5,0,0
jSr2Y,CPBL-2024-xa,2024,一軍,2024-06-09,例行賽,統一7-ELEVEn獅,GyWE7,home,味全龍,2,3,7,0,0
jSr2Y,CPBL-2024-xa,2024,一軍,2024-06-09,例行賽,味全龍,BNi6c,away,統一7-ELEVEn獅,3,2,10,0,1
UITKL,CPBL-2024-xa,2024,一軍,2024-06-09,例行賽,中信兄弟,M45m3,home,台鋼雄鷹,4,3,8,0,1
UITKL,CPBL-2024-xa,2024,一軍,2024-06-09,例行賽,台鋼雄鷹,U64ee,away,中信兄弟,3,4,9,0,0
SecLT,CPBL-2024-xa,2024,一軍,2024-06-09,例行賽,樂天桃猿,Iqkqa,home,富邦悍將,2,7,8,0,0
SecLT,CPBL-2024-xa,2024,一軍,2024-06-09,例行賽,富邦悍將,uIOrj,away,樂天桃猿,7,2,18,0,1
RrRcU,CPBL-2024-xa,2024,一軍,2024-06-08,例行賽,統一7-ELEVEn獅,GyWE7,home,味全龍,3,1,11,0,1
RrRcU,CPBL-2024-xa,2024,一軍,2024-06-08,例行賽,味全龍,BNi6c,away,統一7-ELEVEn獅,1,3,6,0,0
vEpeL,CPBL-2024-xa,2024,一軍,2024-06-08,例行賽,中信兄弟,M45m3,home,台鋼雄鷹,3,1,6,0,1
vEpeL,CPBL-2024-xa,2024,一軍,2024-06-08,例行賽,台鋼雄鷹,U64ee,away,中信兄弟,1,3,11,0,0
JRWWC,CPBL-2024-xa,2024,一軍,2024-06-08,例行賽,樂天桃猿,Iqkqa,home,富邦悍將,1,7,4,0,0
JRWWC,CPBL-2024-xa,2024,一軍,2024-06-08,例行賽,富邦悍將,uIOrj,away,樂天桃猿,7,1,9,0,1
KUQsz,CPBL-2024-xa,2024,一軍,2024-06-07,例行賽,統一7-ELEVEn獅,GyWE7,home,味全龍,2,13,9,0,0
KUQsz,CPBL-2024-xa,2024,一軍,2024-06-07,例行賽,味全龍,BNi6c,away,統一7-ELEVEn獅,13,2,20,0,1
sWwFt,CPBL-2024-xa,2024,一軍,2024-06-07,例行賽,中信兄弟,M45m3,home,台鋼雄鷹,8,12,13,0,0
sWwFt,CPBL-2024-xa,2024,一軍,2024-06-07,例行賽,台鋼雄鷹,U64ee,away,中信兄弟,12,8,16,0,1
gYVky,CPBL-2024-xa,2024,一軍,2024-06-07,例行賽,樂天桃猿,Iqkqa,home,富邦悍將,3,1,8,0,1
gYVky,CPBL-2024-xa,2024,一軍,2024-06-07,例行賽,富邦悍將,uIOrj,away,樂天桃猿,1,3,6,0,0
uoDoy,CPBL-2024-xa,2024,一軍,2024-06-06,例行賽,統一7-ELEVEn獅,GyWE7,home,台鋼雄鷹,4,0,7,0,1
uoDoy,CPBL-2024-xa,2024,一軍,2024-06-06,例行賽,台鋼雄鷹,U64ee,away,統一7-ELEVEn獅,0,4,4,0,0
RXVJt,CPBL-2024-xa,2024,一軍,2024-06-05,例行賽,統一7-ELEVEn獅,GyWE7,home,台鋼雄鷹,6,0,13,0,1
RXVJt,CPBL-2024-xa,2024,一軍,2024-06-05,例行賽,台鋼雄鷹,U64ee,away,統一7-ELEVEn獅,0,6,3,0,0
1xebc,CPBL-2024-xa,2024,一軍,2024-06-04,例行賽,樂天桃猿,Iqkqa,home,中信兄弟,0,5,5,0,0
1xebc,CPBL-2024-xa,2024,一軍,2024-06-04,例行賽,中信兄弟,M45m3,away,樂天桃猿,5,0,8,0,1
PR5Bl,CPBL-2024-xa,2024,一軍,2024-06-04,例行賽,富邦悍將,uIOrj,home,味全龍,3,6,8,0,0
PR5Bl,CPBL-2024-xa,2024,一軍,2024-06-04,例行賽,味全龍,BNi6c,away,富邦悍將,6,3,9,0,1
3Gn7B,CPBL-2024-xa,2024,一軍,2024-06-02,例行賽,味全龍,BNi6c,home,中信兄弟,6,2,10,0,1
3Gn7B,CPBL-2024-xa,2024,一軍,2024-06-02,例行賽,中信兄弟,M45m3,away,味全龍,2,6,6,0,0
NB8S5,CPBL-2024-xa,2024,一軍,2024-06-01,例行賽,富邦悍將,uIOrj,home,統一7-ELEVEn獅,4,5,9,0,0
NB8S5,CPBL-2024-xa,2024,一軍,2024-06-01,例行賽,統一7-ELEVEn獅,GyWE7,away,富邦悍將,5,4,12,0,1
7BSrB,CPBL-2024-xa,2024,一軍,2024-06-01,例行賽,台鋼雄鷹,U64ee,home,樂天桃猿,5,9,15,0,0
7BSrB,CPBL-2024-xa,2024,一軍,2024-06-01,例行賽,樂天桃猿,Iqkqa,away,台鋼雄鷹,9,5,15,0,1
NkIsm,CPBL-2024-xa,2024,一軍,2024-06-01,例行賽,味全龍,BNi6c,home,中信兄弟,3,7,7,0,0
NkIsm,CPBL-2024-xa,2024,一軍,2024-06-01,例行賽,中信兄弟,M45m3,away,味全龍,7,3,10,0,1
IHvEQ,CPBL-2024-xa,2024,一軍,2024-05-31,例行賽,富邦悍將,uIOrj,home,統一7-ELEVEn獅,0,3,5,0,0
IHvEQ,CPBL-2024-xa,2024,一軍,2024-05-31,例行賽,統一7-ELEVEn獅,GyWE7,away,富邦悍將,3,0,6,0,1
PSxMm,CPBL-2024-xa,2024,一軍,2024-05-31,例行賽,台鋼雄鷹,U64ee,home,樂天桃猿,13,2,12,0,1
PSxMm,CPBL-2024-xa,2024,一軍,2024-05-31,例行賽,樂天桃猿,Iqkqa,away,台鋼雄鷹,2,13,7,0,0
HjJeE,CPBL-2024-xa,2024,一軍,2024-05-31,例行賽,味全龍,BNi6c,home,中信兄弟,3,4,10,0,0
HjJeE,CPBL-2024-xa,2024,一軍,2024-05-31,例行賽,中信兄弟,M45m3,away,味全龍,4,3,8,0,1
